# id, url, from, info
0,"https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AF%E3%82%A2%E3%83%AA%E3%82%A6%E3%83%A0",wikipedia,"アクアリウム（英: aquarium）は、水生生物の飼育設備を指す。日本では主に、観賞用に熱帯魚（観賞魚）や水草などを飼育・栽培すること、またはそのために構築された水槽を含む環境を指すことが多い。"
1,"https://dic.nicovideo.jp/a/%E3%83%90%E3%83%B3%E3%83%89","ニコニコ大百科","バンド (band) とは、演奏者の集団である。音楽バンドの略。厳密に決まってはいないが、バンドという語はメンバーの半分以上が楽器を担当するものに限定して使われることが多く、満たない場合は「音楽グループ」「音楽ユニット」などと呼称される。"
2,"https://ja.wikipedia.org/wiki/%E3%83%90%E3%82%B9%E3%82%B1%E3%83%83%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB",wikipedia,"バスケットボールは、1891年にアメリカで考案されたスポーツ。5人対5人の2チームが、一つのボールを手で扱い、長方形のコート上の両端に設置された高さ305cm(10ft)、直径45cm(18in)のリング状のバスケットにボールを上方から通すこと（ゴール）で得点を競う球技である。公式試合は屋内競技として行われる。狭義では、この競技に使用する専用のボールのことを指す。籠球（ろうきゅう）とも訳される。"
3,"https://kotobank.jp/word/%E3%83%90%E3%83%BC%E3%83%99%E3%82%AD%E3%83%A5%E3%83%BC-116141",kotobank,"おもに戸外で行う直火式焼肉料理。名称の起源は諸説あるが，アメリカインディアンが炉で焼く野外料理を babe a queueと呼んだことから起ったといわれる。各種の肉を塊 (ときには丸焼もある) にして串に刺し，その他，野菜など好みの材料をあしらって焼く。炉は煉瓦，石材を積み，木炭などを燃料とする野趣豊かなもので，野外の宴会などにもこの方法が使われている。"
4,"https://kotobank.jp/word/%E5%88%BA%E7%B9%8D-73282",kotobank,"刺繍とは手芸の一種。広くは糸，紐，リボンなどを，布および皮や編み地などの表面に，針を用いて刺したり留めたりして構成する造形，またはその作品。技法は，アプリケ，ドロンワーク，カットワークのほか，ビーズや真珠，スパングルなどを留めつける方法もある。"
5,"https://ja.wikipedia.org/wiki/%E9%87%A3%E3%82%8A",wikipedia,"釣り（つり）あるいは魚釣り（さかなつり）とは、釣り針、釣り糸、釣り竿などの道具と餌や疑似餌を使って、魚介類などの生物を採捕する行為、方法のことである。釣りの起源は少なくとも約4万年前の旧石器時代まで遡ることができる。日本でも、石器時代の遺跡から骨角器の釣針が見つかる。"
6,"https://ja.wikipedia.org/wiki/%E3%83%95%E3%83%83%E3%83%88%E3%82%B5%E3%83%AB",wikipedia,"フットサル（Futsal）は、いわゆる室内サッカーである南米の「サロンフットボール」または英国の「インドアサッカー」を起源とする、基本的には室内で行われる、サッカーに似た競技である。1チーム5人で、試合時間は20分ハーフの合計40分である。"
7,"https://dic.pixiv.net/a/%E3%83%86%E3%83%AC%E3%83%93%E3%82%B2%E3%83%BC%E3%83%A0","ピクシブ百科事典","テレビゲームは、テレビで遊ぶコンピュータゲーム。現在では家庭用ゲーム機のゲームを指すことが多いようだ。現在ではプレイステーション4, ニンテンドーSWITCHなどが販売されている。"
8,"https://ja.wikipedia.org/wiki/%E3%82%B2%E3%83%BC%E3%83%88%E3%83%9C%E3%83%BC%E3%83%AB",wikipedia,"ゲートボールは、5人1組の2チーム対抗で行われる、日本発祥のスポーツ。漢字では門球と表記される。1947年、鈴木栄治（のちに改名して和伸となる）が北海道芽室町において、クロッケーをヒントに考案した。元々は太平洋戦争後の物資不足で遊び道具のない子供のため、また子供の不良化防止のために作られた遊びだったが、高度経済成長期に高齢者向けスポーツとして爆発的に流行、現在では日本だけでなくアジア各国にも普及している。"
9,"https://jphaiku.jp/how/senn.html","日本俳句研究会","俳句と川柳は同じ「俳諧の連歌」から生まれた兄弟のような物です。俳諧の連歌とは、貴族の文化であった連歌を、庶民が自分たちでも遊べるようにバカバカしく滑稽なものに改造したものです。連歌は、前の人が作った五七五の歌に別の人が七七の下の句を付け、さらに別の人がそれに五七五をの句を付けるといったことを繰り返し、３６句、あるいは１００句までで一作品とします。俳句は、この俳諧の連歌の発句（最初の句）が単独で作られるようになったものです。"
10,"https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%BC%E3%83%A0%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3%E3%83%BC",wikipedia,"ホームパーティー (Homeparty) は、自宅に友人や知人を招いて行うパーティーのこと。自宅に複数の友人や知人、会社の同僚などを招いて酒食を提供、鍋料理やバーベキューなどでもてなすことを言う。英語で呼ばれているように（英語では House party と言うが）、基本的にはアメリカやヨーロッパなどの家庭で日常的に行われているものであるが、日本でも昔から「お呼ばれ」という呼称で行われてきたことと基本的に同様のことである。"
